drug,smiles,pubchem_cid,targets,moa_broad,moa_fine
Cyclosporin A,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,5284373.0,"PPP3CA, PPP3CB, PPP3CC",inhibitor/antagonist,unclear
Erythromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,12560.0,,inhibitor/antagonist,unclear
Azithromycin (hydrate),CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,3033819.0,,unclear,unclear
Perindopril (erbumine),CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O.CC(C)(C)N,441313.0,"STAT3, ACE",inhibitor/antagonist,unclear
Sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,135398744.0,PDE5A,inhibitor/antagonist,unclear
Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,5281004.0,NR3C1,activator/agonist,Glucocorticoid receptor agonist
Hexylresorcinol,CCCCCCC1=C(C=C(C=C1)O)O,3610.0,,inhibitor/antagonist,unclear
Oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,445639.0,,activator/agonist,unclear
Fingolimod (hydrochloride),CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl,107969.0,PAK1,unclear,unclear
Daptomycin,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,21585658.0,,unclear,unclear
Orlistat,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,3034010.0,,inhibitor/antagonist,unclear
Levobupivacaine (hydrochloride),CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,117965.0,SCN5A,inhibitor/antagonist,unclear
Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,4922.0,"CCKBR, CCKAR",inhibitor/antagonist,unclear
Ropivacaine (hydrochloride monohydrate),CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl,6918111.0,,inhibitor/antagonist,unclear
Macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,16004692.0,"EDNRA, EDNRB",inhibitor/antagonist,unclear
Vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,42611257.0,BRAF,inhibitor/antagonist,RAF inhibitor
Lidocaine (hydrochloride),CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,6314.0,"MAP2K1, MAPK1, NFKB1",unclear,unclear
Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,5329102.0,"KDR, PDGFRB",inhibitor/antagonist,Multi-TK inhibitor
Procainamide (hydrochloride),CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl,66068.0,DNMT1,inhibitor/antagonist,DNA methyltransferase inhibitor
Lucanthone,CCN(CC)CCNC1=C2C(=C(C=C1)C)SC3=CC=CC=C3C2=O,10180.0,,inhibitor/antagonist,unclear
RMC-6236,CCN1C2=C3C=C(C=C2)C4=CSC(=N4)CC(C(=O)N5CCCC(N5)C(=O)OCC(CC3=C1C6=C(N=CC(=C6)N7CCN(CC7)C)C(C)OC)(C)C)NC(=O)C8CC8C,164726578.0,KRAS,inhibitor/antagonist,RAS inhibitor
Pemigatinib,CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,86705695.0,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor
Infigratinib,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,53235510.0,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor
NG25,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3)C)OC4=C5C=CNC5=NC=C4)C(F)(F)F,53340664.0,"MAP4K2, MAP3K7, LYN, ABL1, ABL2, FER, SRC, EPHA2, EPHB2, EPHB4, ZAK, ZKSCAN1, RAF1",inhibitor/antagonist,Other MAPK inhibitor
Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,46220502.0,"CDK4, CDK6",inhibitor/antagonist,CDK inhibitor
Bimatoprost,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O,5311027.0,,unclear,unclear
Dorzolamide (hydrochloride),CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl,6918132.0,CA2,inhibitor/antagonist,unclear
Tazarotene,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,5381.0,"RARA, RARB, RARG",activator/agonist,Retinoic receptor agonist
Neratinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,9915743.0,"EGFR, ERBB2",inhibitor/antagonist,EGFR/ERBB inhibitor
Neratinib (maleate),CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O,67307512.0,"EGFR, ERBB2",inhibitor/antagonist,EGFR/ERBB inhibitor
Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,9887712.0,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl.CC(CO)O.O,24906252.0,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor
Auranofin,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],24199313.0,"TXNRD1, TXNRD2",inhibitor/antagonist,unclear
TAK-901,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=C(N3)N=CC(=C4)C)C)C(=O)NC5CCN(CC5)C,16124208.0,AURKB,inhibitor/antagonist,unclear
Loperamide (hydrochloride),CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,71420.0,,unclear,unclear
Ribociclib,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,44631912.0,"CDK4, CDK6",inhibitor/antagonist,CDK inhibitor
Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,2123.0,,unclear,DNA synthesis/repair inhibitor
Demeclocycline,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,54680690.0,,inhibitor/antagonist,unclear
Afatinib,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,10184653.0,"EGFR, ERBB2",inhibitor/antagonist,EGFR/ERBB inhibitor
Relugolix,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,10348973.0,GNRHR,inhibitor/antagonist,unclear
Citalopram (hydrobromide),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br,77995.0,SLC6A4,inhibitor/antagonist,unclear
Almonertinib (hydrochloride),CN(C)CCN(C)C1=CC(=C(C=C1NC(=O)C=C)NC2=NC=CC(=N2)C3=CN(C4=CC=CC=C43)C5CC5)OC.Cl,137319707.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
Almonertinib (mesylate),CN(C)CCN(C)C1=CC(=C(C=C1NC(=O)C=C)NC2=NC=CC(=N2)C3=CN(C4=CC=CC=C43)C5CC5)OC.CS(=O)(=O)O,162368359.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100.0,HRH1,inhibitor/antagonist,unclear
ML264,CN(C1CCS(=O)(=O)CC1)C(=O)CNC(=O)C=CC2=CC(=CC=C2)Cl,51003603.0,KLF5,inhibitor/antagonist,unclear
Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,126941.0,DHFR,inhibitor/antagonist,DNA synthesis/repair inhibitor
Ivabradine (hydrochloride),CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC.Cl,3045381.0,HCN4,inhibitor/antagonist,unclear
Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,77999.0,"PPARG, TRPC5, TRPM3",unclear,unclear
Piroxicam,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,54676228.0,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor
c-Kit-IN-1,CN1C=C(C=N1)C2=NC=CC(=C2)OC3=C(C=C(C(=C3)F)NC(=O)C4(CC4)C(=O)NC5=CC=CC=C5)F,46208890.0,"KIT, MET, KDR, PDGFRA, PDGFRB",inhibitor/antagonist,Multi-TK inhibitor
CP21R7,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CC(=CC=C4)N,5327711.0,"GSK3B, PRKCA",inhibitor/antagonist,GSK3 inhibitor
9-ING-41,CN1C=C(C2=CC3=C(C=C21)OCO3)C4=C(C(=O)NC4=O)C5=COC6=C5C=C(C=C6)F,44582816.0,GSK3B,inhibitor/antagonist,GSK3 inhibitor
Binimetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,10288191.0,"MAP2K1, MAP2K2",inhibitor/antagonist,MEK inhibitor
TAK-733,CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)CC(CO)O,24963252.0,MAP2K1,inhibitor/antagonist,MEK inhibitor
Bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,65628.0,,unclear,DNA synthesis/repair inhibitor
Benztropine (mesylate),CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,238053.0,,inhibitor/antagonist,unclear
Tadalafil,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,110635.0,PDE5A,inhibitor/antagonist,unclear
Vandetanib,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,3081361.0,"EGFR, KDR",inhibitor/antagonist,Multi-TK inhibitor
Glasdegib,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,25166913.0,SMO,inhibitor/antagonist,Sonic inhibitor
Isocorydine,CN1CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)O)OC)OC,10143.0,,unclear,unclear
Berbamine,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,275182.0,CACNA1C,inhibitor/antagonist,unclear
Berbamine (dihydrochloride),CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC.Cl.Cl,16217067.0,,inhibitor/antagonist,unclear
Cepharanthine,CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,10206.0,"CYP3A4, CYP2E1, CYP2C9",inhibitor/antagonist,unclear
Sinomenine,CN1CCC23CC(=O)C(=CC2C1CC4=C3C(=C(C=C4)OC)O)OC,5459308.0,OPRM1,unclear,unclear
Adagrasib,CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,138611145.0,KRAS,inhibitor/antagonist,RAS inhibitor
LB-100,CN1CCN(CC1)C(=O)C2C3CCC(C2C(=O)O)O3,3578572.0,"PPP2CA, PPP2CB",inhibitor/antagonist,unclear
Entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,25141092.0,"NTRK1, NTRK2, NTRK3, ROS1, ALK",inhibitor/antagonist,Other TK inhibitor
AZD2858,CN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C3=CN=C(C(=N3)C(=O)NC4=CN=CC=C4)N,10138980.0,"GSK3B, GSK3A",inhibitor/antagonist,GSK3 inhibitor
Capmatinib,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,25145656.0,MET,inhibitor/antagonist,EGFR/ERBB inhibitor
Apalutamide,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,24872560.0,AR,inhibitor/antagonist,Androgen receptor antagonist
Regorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,11167602.0,"BRAF, FLT1, FLT4, KDR, KIT, PDGFRB, RAF1, RET, TEK",inhibitor/antagonist,Multi-TK inhibitor
Phenylephrine (hydrochloride),CNCC(C1=CC(=CC=C1)O)O.Cl,5284443.0,"ADRA1A, ADRA1B, ADRA1D",activator/agonist,Adrenoceptor agonist
Rucaparib (phosphate),CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2.OP(=O)(O)O,9931953.0,"PARP1, PARP2, PARP3",inhibitor/antagonist,DNA synthesis/repair inhibitor
Clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,60606.0,P2RY12,inhibitor/antagonist,unclear
Dimethyl fumarate,COC(=O)C=CC(=O)OC,637568.0,NFE2L2,activator/agonist,unclear
Methyl aminolevulinate (hydrochloride),COC(=O)CCC(=O)CN.Cl,157921.0,,unclear,unclear
Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,4030.0,"TUBA1A, TUBA1B, TUBA1C, TUBB, TUBB1, TUBB2A, TUBB3, TUBB4A, TUBB4B, TUBB6",inhibitor/antagonist,Microtubule inhibitor
Tranilast,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC,5282230.0,"PLA2G2A, EGR1",inhibitor/antagonist,unclear
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,123631.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
Simotinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCN4CC5(CC5)C6(C4)OCCO6,16735117.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
Bergenin,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,66065.0,,unclear,unclear
Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,445858.0,"FGFR1, FGFR2",inhibitor/antagonist,Other TK inhibitor
Amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,2179.0,TOP2A,inhibitor/antagonist,DNA synthesis/repair inhibitor
Palmatine (chloride),COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC.[Cl-],73442.0,"IDO1, WNV NS2B-NS3",inhibitor/antagonist,unclear
Berberine (chloride hydrate),COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.O.[Cl-],155074.0,,unclear,unclear
Futibatinib,COC1=CC(=CC(=C1)C#CC2=NN(C3=NC=NC(=C23)N)C4CCN(C4)C(=O)C=C)OC,71621331.0,"FGFR1, FGFR2, FGFR3, FGFR4",inhibitor/antagonist,Other TK inhibitor
Tubulin inhibitor 6,COC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,2359994.0,,inhibitor/antagonist,Microtubule inhibitor
Anethole trithione,COC1=CC=C(C=C1)C2=CC(=S)SS2,2194.0,,unclear,unclear
Cabozantinib (S-malate),COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F.C(C(C(=O)O)O)C(=O)O,25102846.0,"MET, KDR, AXL",inhibitor/antagonist,Multi-TK inhibitor
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,5324346.0,SLC6A4,unclear,unclear
Fluvoxamine (maleate),COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O,9560989.0,,inhibitor/antagonist,unclear
Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,176870.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
Belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,117947097.0,EPAS1,inhibitor/antagonist,unclear
Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,24776445.0,"SMO, ABCB1, ABCG2",inhibitor/antagonist,Sonic inhibitor
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,4495.0,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor
Nafamostat (mesylate),CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,5311180.0,,inhibitor/antagonist,unclear
Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,2478.0,,unclear,DNA synthesis/repair inhibitor
18β-Glycyrrhetinic acid,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O,10114.0,,unclear,unclear
Trametinib (DMSO_TF solvate), CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5  ,11707110.0,"MAP2K1, MAP2K2",inhibitor/antagonist,MEK inhibitor
Sacubitril/Valsartan,,,AGTR1,inhibitor/antagonist,unclear
Pitavastatin (Calcium), C1C(C1)C2=NC3=CC=CC=C3C(=C2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C4=CC=C(C=C4)F.C1C(C1)C2=NC3=CC=CC=C3C(=C2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C4=CC=C(C=C4)F.[Ca+2],5282451.0,HMGCR,inhibitor/antagonist,unclear
Verteporfin,,,YAP1,inhibitor/antagonist,unclear
Quinidine (15% dihydroquinidine),COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O  ,441074.0,KCNH2,inhibitor/antagonist,unclear
Canagliflozin (hemihydrate),CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F.CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F.O,24997615.0,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor
Osimertinib (mesylate),CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC.CS(=O)(=O)O  ,78357807.0,EGFR,inhibitor/antagonist,EGFR/ERBB inhibitor
γ-Oryzanol,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC)C)C,5282164.0,,inhibitor/antagonist,DNA methyltransferase inhibitor
